
 Document Pair(0,0) 	 Similarity Score: 104.16570536933631

 Document Pair(0,1) 	 Similarity Score: 20.871854193992228

 Document Pair(0,2) 	 Similarity Score: 15.212998455051228

 Document Pair(0,3) 	 Similarity Score: 14.640199814130849

 Document Pair(0,4) 	 Similarity Score: 15.168882291645586

 Document Pair(0,5) 	 Similarity Score: 15.212998455051228

 Document Pair(0,6) 	 Similarity Score: 15.212998455051228

 Document Pair(0,7) 	 Similarity Score: 20.871854193992228

 Document Pair(0,8) 	 Similarity Score: 20.176209317544284

 Document Pair(0,9) 	 Similarity Score: 20.871854193992228

 Document Pair(0,10) 	 Similarity Score: 15.212998455051228

 Document Pair(0,11) 	 Similarity Score: 15.627319133955902

 Document Pair(0,12) 	 Similarity Score: 20.871854193992228

 Document Pair(0,13) 	 Similarity Score: 20.871854193992228

 Document Pair(0,14) 	 Similarity Score: 20.871854193992228

 Document Pair(0,15) 	 Similarity Score: 14.13109884089751

 Document Pair(0,16) 	 Similarity Score: 15.212998455051228

 Document Pair(0,17) 	 Similarity Score: 15.212998455051228

 Document Pair(0,18) 	 Similarity Score: 20.871854193992228

 Document Pair(0,19) 	 Similarity Score: 22.771720554293587

 Document Pair(0,20) 	 Similarity Score: 15.212998455051228

 Document Pair(0,21) 	 Similarity Score: 14.095134088124222

 Document Pair(0,22) 	 Similarity Score: 14.13109884089751

 Document Pair(0,23) 	 Similarity Score: 20.894005055427087

 Document Pair(0,24) 	 Similarity Score: 20.176209317544284

 Document Pair(0,25) 	 Similarity Score: 20.871854193992228

 Document Pair(0,26) 	 Similarity Score: 20.871854193992228

 Document Pair(0,27) 	 Similarity Score: 20.871854193992228

 Document Pair(0,28) 	 Similarity Score: 20.871854193992228

 Document Pair(0,29) 	 Similarity Score: 20.871854193992228

 Document Pair(0,30) 	 Similarity Score: 15.212998455051228

 Document Pair(0,31) 	 Similarity Score: 15.212998455051228

 Document Pair(0,32) 	 Similarity Score: 15.212998455051228

 Document Pair(0,33) 	 Similarity Score: 20.871854193992228

 Document Pair(0,34) 	 Similarity Score: 14.59407874943163

 Document Pair(0,35) 	 Similarity Score: 21.990928293554283

 Document Pair(0,36) 	 Similarity Score: 15.212998455051228

 Document Pair(0,37) 	 Similarity Score: 11.564281113678234

 Document Pair(0,38) 	 Similarity Score: 20.16314040343093

 Document Pair(0,39) 	 Similarity Score: 14.970776044789746

 Document Pair(0,40) 	 Similarity Score: 14.39331280110955

 Document Pair(0,41) 	 Similarity Score: 14.13109884089751

 Document Pair(0,42) 	 Similarity Score: 14.39304089761837

 Document Pair(0,43) 	 Similarity Score: 14.370617885544412

 Document Pair(0,44) 	 Similarity Score: 14.875201649065886

 Document Pair(0,45) 	 Similarity Score: 15.212998455051228

 Document Pair(0,46) 	 Similarity Score: 25.915975652418222

 Document Pair(0,47) 	 Similarity Score: 20.871854193992228

 Document Pair(0,48) 	 Similarity Score: 20.871854193992228

 Document Pair(0,49) 	 Similarity Score: 15.212998455051228

 Document Pair(0,50) 	 Similarity Score: 20.871854193992228

 Document Pair(0,51) 	 Similarity Score: 20.871854193992228

 Document Pair(0,52) 	 Similarity Score: 15.212998455051228

 Document Pair(0,53) 	 Similarity Score: 15.627319133955902

 Document Pair(0,54) 	 Similarity Score: 14.640199814130849

 Document Pair(0,55) 	 Similarity Score: 14.261031838331656

 Document Pair(0,56) 	 Similarity Score: 20.02788351427918

 Document Pair(0,57) 	 Similarity Score: 20.871854193992228

 Document Pair(0,58) 	 Similarity Score: 20.871854193992228

 Document Pair(0,59) 	 Similarity Score: 20.871854193992228

 Document Pair(0,60) 	 Similarity Score: 14.465237784870006

 Document Pair(0,61) 	 Similarity Score: 15.212998455051228

 Document Pair(0,62) 	 Similarity Score: 15.212998455051228

 Document Pair(0,63) 	 Similarity Score: 15.212998455051228

 Document Pair(0,64) 	 Similarity Score: 20.871854193992228

 Document Pair(0,65) 	 Similarity Score: 14.39331280110955

 Document Pair(0,66) 	 Similarity Score: 20.76170889097916

 Document Pair(0,67) 	 Similarity Score: 20.871854193992228

 Document Pair(0,68) 	 Similarity Score: 20.871854193992228

 Document Pair(0,69) 	 Similarity Score: 15.212998455051228

 Document Pair(0,70) 	 Similarity Score: 20.871854193992228

 Document Pair(0,71) 	 Similarity Score: 20.871854193992228

 Document Pair(0,72) 	 Similarity Score: 15.212998455051228

